predicted_tables,reference_tables,query,question,db_id
"SELECT a.Airline, a.Abbreviation, a.Country FROM airlines a JOIN flights f ON a.uid = f.Airline GROUP BY a.Airline, a.Abbreviation, a.Country HAVING COUNT(f.FlightNo) >= 10","AIRLINES, FLIGHTS",SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline HAVING count(*)  >  10,Find all airlines that have at least 10 flights.,flight_2
"SELECT a.Airline, a.Abbreviation, a.Country FROM airlines a JOIN flights f ON a.uid = f.Airline GROUP BY a.Airline, a.Abbreviation, a.Country HAVING COUNT(f.FlightNo) >= 10","AIRLINES, FLIGHTS",SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline HAVING count(*)  >  10,Which airlines have at least 10 flights?,flight_2
SELECT Airline FROM airlines WHERE uid IN ( SELECT Airline FROM flights GROUP BY Airline HAVING COUNT(*) < 200 ),"AIRLINES, FLIGHTS",SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline HAVING count(*)  <  200,Find all airlines that have fewer than 200 flights.,flight_2
"To answer this question, we need to join the `airlines`, `flights`, and `airports` tables. We can then count the number of flights for each airline and filter out the airlines with less than 200 flights. Here is the SQL query to achieve this: ```sql SELECT a.Airline, COUNT(f.FlightNo) AS FlightCount FROM airlines a JOIN flights f ON a.uid = f.Airline JOIN airports ap ON f.SourceAirport = ap.AirportCode OR f.DestAirport = ap.AirportCode GROUP BY a.Airline HAVING COUNT(f.FlightNo) < 200","AIRLINES, FLIGHTS",SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline GROUP BY T1.Airline HAVING count(*)  <  200,Which airlines have less than 200 flights?,flight_2
SELECT FlightNo FROM flights WHERE Airline = (SELECT uid FROM airlines WHERE Airline = 'United Airlines'),"FLIGHTS, AIRLINES","SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRLINES AS T2 ON T2.uid  =  T1.Airline WHERE T2.Airline  =  ""United Airlines""","What are flight numbers of Airline ""United Airlines""?",flight_2
SELECT flights.FlightNo FROM flights INNER JOIN airlines ON flights.Airline = airlines.uid WHERE airlines.Airline = 'United Airlines',"FLIGHTS, AIRLINES","SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRLINES AS T2 ON T2.uid  =  T1.Airline WHERE T2.Airline  =  ""United Airlines""",Which flight numbers correspond to United Airlines flights?,flight_2
SELECT FlightNo FROM flights WHERE SourceAirport = 'APG',FLIGHTS,"SELECT FlightNo FROM FLIGHTS WHERE SourceAirport  =  ""APG""","What are flight numbers of flights departing from Airport ""APG""?",flight_2
SELECT FlightNo FROM flights WHERE SourceAirport = 'APG',FLIGHTS,"SELECT FlightNo FROM FLIGHTS WHERE SourceAirport  =  ""APG""",Give the flight numbers of flights leaving from APG.,flight_2
SELECT FlightNo FROM flights WHERE DestAirport = 'APG',FLIGHTS,"SELECT FlightNo FROM FLIGHTS WHERE DestAirport  =  ""APG""","What are flight numbers of flights arriving at Airport ""APG""?",flight_2
SELECT FlightNo FROM flights WHERE DestAirport = 'APG',FLIGHTS,"SELECT FlightNo FROM FLIGHTS WHERE DestAirport  =  ""APG""",Give the flight numbers of flights landing at APG.,flight_2
SELECT FlightNo FROM flights WHERE SourceAirport IN (SELECT AirportCode FROM airports WHERE City = 'Aberdeen '),"FLIGHTS, AIRPORTS","SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.SourceAirport   =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""","What are flight numbers of flights departing from City ""Aberdeen ""?",flight_2
SELECT FlightNo FROM flights WHERE SourceAirport = 'APG',"FLIGHTS, AIRPORTS","SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.SourceAirport   =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",Give the flight numbers of flights leaving from Aberdeen.,flight_2
SELECT f.FlightNo FROM flights f INNER JOIN airports a ON f.DestAirport = a.AirportCode WHERE a.City = 'Aberdeen',"FLIGHTS, AIRPORTS","SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport   =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""","What are flight numbers of flights arriving at City ""Aberdeen""?",flight_2
SELECT FlightNo FROM flights WHERE DestAirport = 'ABR',"FLIGHTS, AIRPORTS","SELECT T1.FlightNo FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport   =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",Give the flight numbers of flights arriving in Aberdeen.,flight_2
"SELECT COUNT(*) FROM flights WHERE DestAirport IN (SELECT AirportCode FROM airports WHERE City IN ('Aberdeen', 'Abilene'))","Flights, Airports","SELECT count(*) FROM Flights AS T1 JOIN Airports AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.city  =  ""Aberdeen"" OR T2.city  =  ""Abilene""",Find the number of flights landing in the city of Aberdeen or Abilene.,flight_2
"SELECT COUNT(*) FROM flights WHERE DestAirport IN ('APG', 'ABR', 'DYS')","Flights, Airports","SELECT count(*) FROM Flights AS T1 JOIN Airports AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.city  =  ""Aberdeen"" OR T2.city  =  ""Abilene""",How many flights land in Aberdeen or Abilene?,flight_2
"Based on the given SQL tables, the question is referring to the `airports` and `flights` tables. To find the name of airports that do not have any flight in and out, you can use the following SQL query: ```sql SELECT AirportName FROM airports WHERE AirportCode NOT IN ( SELECT SourceAirport FROM flights UNION ALL SELECT DestAirport FROM flights ) ``` This query selects the `AirportName` from the `airports` table where the `AirportCode` is not present in the `SourceAirport` or `DestAirport` columns of the `flights` table. The `UNION ALL` operator is used to combine the results of two separate subqueries, one for source airports and one for destination airports. The `NOT IN` operator then filters out any airport codes that are present in the subquery result. The result of this query will be the names of airports that do not have any flight in and out.","Airports, Flights",SELECT AirportName FROM Airports WHERE AirportCode NOT IN (SELECT SourceAirport FROM Flights UNION SELECT DestAirport FROM Flights),Find the name of airports which do not have any flight in and out.,flight_2
"To answer this question, you need to find the airports that do not have any flights in the `flights` table. This can be done by using a LEFT JOIN to combine the `airports` and `flights` tables, and then checking for NULL values in the `SourceAirport` or `DestAirport` columns. Here is the SQL query to do that: ```sql SELECT a.AirportCode, a.AirportName, a.Country FROM airports a LEFT JOIN flights f ON a.AirportCode = f.SourceAirport OR a.AirportCode = f.DestAirport WHERE f.SourceAirport IS NULL AND f.DestAirport IS NULL","Airports, Flights",SELECT AirportName FROM Airports WHERE AirportCode NOT IN (SELECT SourceAirport FROM Flights UNION SELECT DestAirport FROM Flights),Which airports do not have departing or arriving flights?,flight_2
SELECT COUNT(*) FROM employee,employee,SELECT count(*) FROM employee,How many employees are there?,employee_hire_evaluation
SELECT COUNT(*) FROM employee,employee,SELECT count(*) FROM employee,Count the number of employees,employee_hire_evaluation
SELECT Name FROM employee ORDER BY Age ASC,employee,SELECT name FROM employee ORDER BY age,Sort employee names by their age in ascending order.,employee_hire_evaluation
SELECT Name FROM employee ORDER BY Age ASC,employee,SELECT name FROM employee ORDER BY age,List the names of employees and sort in ascending order of age.,employee_hire_evaluation
"SELECT e.City, COUNT(*) AS Number_of_Employees FROM employee e GROUP BY e.City",employee,"SELECT count(*) ,  city FROM employee GROUP BY city",What is the number of employees from each city?,employee_hire_evaluation
"SELECT e.City, COUNT(e.Employee_ID) AS Employee_Count FROM employee e JOIN hiring h ON e.Employee_ID = h.Employee_ID GROUP BY e.City",employee,"SELECT count(*) ,  city FROM employee GROUP BY city",Count the number of employees for each city.,employee_hire_evaluation
"To answer this question, you would need to select the ""City"" column from the ""employee"" table, group the results by city, and then filter for cities that have more than one record for employees under the age of 30. Here is the SQL query that would do this: ```sql SELECT City FROM employee WHERE Age < 30 GROUP BY City HAVING COUNT(*) > 1",employee,SELECT city FROM employee WHERE age  <  30 GROUP BY city HAVING count(*)  >  1,Which cities do more than one employee under age 30 come from?,employee_hire_evaluation
SELECT e.City FROM employee e WHERE e.Age < 30 GROUP BY e.City HAVING COUNT(*) > 1,employee,SELECT city FROM employee WHERE age  <  30 GROUP BY city HAVING count(*)  >  1,Find the cities that have more than one employee under age 30.,employee_hire_evaluation
"SELECT Location, COUNT(*) FROM shop GROUP BY Location",shop,"SELECT count(*) ,  LOCATION FROM shop GROUP BY LOCATION",Find the number of shops in each location.,employee_hire_evaluation
"SELECT Location, COUNT(*) FROM shop GROUP BY Location",shop,"SELECT count(*) ,  LOCATION FROM shop GROUP BY LOCATION",How many shops are there in each location?,employee_hire_evaluation
"SELECT s.Manager_name, s.District FROM shop s WHERE s.Number_products = (SELECT MAX(s.Number_products) FROM shop s)",shop,"SELECT manager_name ,  district FROM shop ORDER BY number_products DESC LIMIT 1",Find the manager name and district of the shop whose number of products is the largest.,employee_hire_evaluation
"SELECT s.Manager_name, s.District FROM shop s WHERE s.Number_products = (SELECT MAX(Number_products) FROM shop) LIMIT 1",shop,"SELECT manager_name ,  district FROM shop ORDER BY number_products DESC LIMIT 1",What are the manager name and district of the shop that sells the largest number of products?,employee_hire_evaluation
"The question is referring to the ""shop"" table. We can find the minimum and maximum number of products by using the SQL MIN() and MAX() functions respectively on the ""Number_products"" column of the ""shop"" table. Here is the SQL query: ```sql SELECT MIN(Number_products) as Min_Products, MAX(Number_products) as Max_Products FROM shop",shop,"SELECT min(Number_products) ,  max(Number_products) FROM shop",find the minimum and maximum number of products of all stores.,employee_hire_evaluation
"To find the minimum and maximum number of products across all the shops, you can use the following SQL query: ```sql SELECT MIN(Number_products) AS Min_Products, MAX(Number_products) AS Max_Products FROM shop",shop,"SELECT min(Number_products) ,  max(Number_products) FROM shop",What are the minimum and maximum number of products across all the shops?,employee_hire_evaluation
"SELECT Name, Location, District FROM shop ORDER BY Number_products DESC",shop,"SELECT name ,  LOCATION ,  district FROM shop ORDER BY number_products DESC","Return the name, location and district of all shops in descending order of number of products.",employee_hire_evaluation
"SELECT Name, Location, District FROM shop ORDER BY Number_products DESC",shop,"SELECT name ,  LOCATION ,  district FROM shop ORDER BY number_products DESC","Sort all the shops by number products in descending order, and return the name, location and district of each shop.",employee_hire_evaluation
SELECT Name FROM shop WHERE Number_products > (SELECT AVG(Number_products) FROM shop),shop,SELECT name FROM shop WHERE number_products  >  (SELECT avg(number_products) FROM shop),Find the names of stores whose number products is more than the average number of products.,employee_hire_evaluation
SELECT Name FROM shop WHERE Number_products > (SELECT AVG(Number_products) FROM shop),shop,SELECT name FROM shop WHERE number_products  >  (SELECT avg(number_products) FROM shop),Which shops' number products is above the average? Give me the shop names.,employee_hire_evaluation
"To find the name of the employee who was awarded the most times in the evaluation, you can use the following SQL query: ```sql SELECT e.Name, COUNT(*) AS award_count FROM employee e JOIN evaluation ev ON e.Employee_ID = ev.Employee_ID GROUP BY e.Name ORDER BY award_count DESC LIMIT 1","employee, evaluation",SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID GROUP BY t2.Employee_ID ORDER BY count(*) DESC LIMIT 1,find the name of employee who was awarded the most times in the evaluation.,employee_hire_evaluation
SELECT e.Name FROM employee e INNER JOIN evaluation ev ON e.Employee_ID = ev.Employee_ID GROUP BY e.Name ORDER BY COUNT(ev.Year_awarded) DESC LIMIT 1,"employee, evaluation",SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID GROUP BY t2.Employee_ID ORDER BY count(*) DESC LIMIT 1,Which employee received the most awards in evaluations? Give me the employee name.,employee_hire_evaluation
"To find the name of the employee who got the highest one time bonus, you can use the following SQL query: ```sql SELECT e.Name FROM employee e INNER JOIN evaluation ev ON e.Employee_ID = ev.Employee_ID WHERE ev.Bonus = (SELECT MAX(Bonus) FROM evaluation)","employee, evaluation",SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID ORDER BY t2.bonus DESC LIMIT 1,Find the name of the employee who got the highest one time bonus.,employee_hire_evaluation
SELECT e.Name FROM employee e INNER JOIN evaluation ev ON e.Employee_ID = ev.Employee_ID ORDER BY ev.Bonus DESC LIMIT 1,"employee, evaluation",SELECT t1.name FROM employee AS t1 JOIN evaluation AS t2 ON t1.Employee_ID  =  t2.Employee_ID ORDER BY t2.bonus DESC LIMIT 1,Which employee received the biggest bonus? Give me the employee name.,employee_hire_evaluation
SELECT e.Name FROM employee e LEFT JOIN evaluation ev ON e.Employee_ID = ev.Employee_ID WHERE ev.Employee_ID IS NULL,"employee, evaluation",SELECT name FROM employee WHERE Employee_ID NOT IN (SELECT Employee_ID FROM evaluation),Find the names of employees who never won any award in the evaluation.,employee_hire_evaluation
SELECT e.Name FROM employee e LEFT JOIN evaluation ev ON e.Employee_ID = ev.Employee_ID WHERE ev.Employee_ID IS NULL,"employee, evaluation",SELECT name FROM employee WHERE Employee_ID NOT IN (SELECT Employee_ID FROM evaluation),What are the names of the employees who never received any evaluation?,employee_hire_evaluation
SELECT s.Name FROM shop s JOIN hiring h ON s.Shop_ID = h.Shop_ID GROUP BY s.Name ORDER BY COUNT(h.Employee_ID) DESC LIMIT 1,"hiring, shop",SELECT t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t1.shop_id ORDER BY count(*) DESC LIMIT 1,What is the name of the shop that is hiring the largest number of employees?,employee_hire_evaluation
SELECT s.Name FROM shop s JOIN hiring h ON s.Shop_ID = h.Shop_ID GROUP BY s.Name ORDER BY COUNT(h.Employee_ID) DESC LIMIT 1,"hiring, shop",SELECT t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t1.shop_id ORDER BY count(*) DESC LIMIT 1,Which shop has the most employees? Give me the shop name.,employee_hire_evaluation
SELECT s.Name FROM shop s LEFT JOIN hiring h ON s.Shop_ID = h.Shop_ID WHERE h.Employee_ID IS NULL,"shop, hiring",SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),Find the name of the shops that do not hire any employee.,employee_hire_evaluation
SELECT s.Name FROM shop s LEFT JOIN hiring h ON s.Shop_ID = h.Shop_ID WHERE h.Employee_ID IS NULL,"shop, hiring",SELECT name FROM shop WHERE shop_id NOT IN (SELECT shop_id FROM hiring),Which shops run with no employees? Find the shop names,employee_hire_evaluation
"SELECT s.Name, COUNT(h.Employee_ID) AS num_employees FROM shop s JOIN hiring h ON s.Shop_ID = h.Shop_ID GROUP BY s.Name","hiring, shop","SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name",Find the number of employees hired in each shop; show the shop name as well.,employee_hire_evaluation
"SELECT s.Name, COUNT(h.Employee_ID) as Number_of_Employees FROM shop s JOIN hiring h ON s.Shop_ID = h.Shop_ID GROUP BY s.Name","hiring, shop","SELECT count(*) ,  t2.name FROM hiring AS t1 JOIN shop AS t2 ON t1.shop_id  =  t2.shop_id GROUP BY t2.name","For each shop, return the number of employees working there and the name of the shop.",employee_hire_evaluation
SELECT SUM(Bonus) FROM evaluation,evaluation,SELECT sum(bonus) FROM evaluation,What is total bonus given in all evaluations?,employee_hire_evaluation
SELECT SUM(Bonus) FROM evaluation,evaluation,SELECT sum(bonus) FROM evaluation,Find the total amount of bonus given in all the evaluations.,employee_hire_evaluation
SELECT * FROM hiring,hiring,SELECT * FROM hiring,Give me all the information about hiring.,employee_hire_evaluation
SELECT * FROM hiring,hiring,SELECT * FROM hiring,What is all the information about hiring?,employee_hire_evaluation
"To answer this question, we need to join the `shop` table with itself based on the `District` column. We will then group the results by `District` and count the number of shops with less than 3000 products and the number of shops with more than 10000 products. Finally, we will filter the results to only include districts where both conditions are met. Here is the SQL query to achieve this: ```sql SELECT s1.District FROM shop s1 JOIN shop s2 ON s1.District = s2.District WHERE s1.Number_products < 3000 AND s2.Number_products > 10000 GROUP BY s1.District ``` This query will return the districts that meet the given conditions.",shop,SELECT district FROM shop WHERE Number_products  <  3000 INTERSECT SELECT district FROM shop WHERE Number_products  >  10000,Which district has both stores with less than 3000 products and stores with more than 10000 products?,employee_hire_evaluation
SELECT District FROM shop WHERE Number_products < 3000 OR Number_products > 10000,shop,SELECT district FROM shop WHERE Number_products  <  3000 INTERSECT SELECT district FROM shop WHERE Number_products  >  10000,Find the districts in which there are both shops selling less than 3000 products and shops selling more than 10000 products.,employee_hire_evaluation
SELECT COUNT(DISTINCT Location) FROM shop,shop,SELECT count(DISTINCT LOCATION) FROM shop,How many different store locations are there?,employee_hire_evaluation
SELECT COUNT(DISTINCT Location) FROM shop,shop,SELECT count(DISTINCT LOCATION) FROM shop,Count the number of distinct store locations.,employee_hire_evaluation
SELECT COUNT(*) FROM Documents,Documents,SELECT count(*) FROM Documents,How many documents do we have?,cre_Doc_Template_Mgt
SELECT COUNT(*) FROM Documents,Documents,SELECT count(*) FROM Documents,Count the number of documents.,cre_Doc_Template_Mgt
"SELECT Document_ID, Document_Name, Document_Description FROM Documents",Documents,"SELECT document_id ,  document_name ,  document_description FROM Documents","List document IDs, document names, and document descriptions for all documents.",cre_Doc_Template_Mgt
"SELECT Documents.Document_ID, Documents.Document_Name, Documents.Document_Description FROM Documents",Documents,"SELECT document_id ,  document_name ,  document_description FROM Documents","What are the ids, names, and descriptions for all documents?",cre_Doc_Template_Mgt
"SELECT Document_Name, Template_ID FROM Documents WHERE Document_Description LIKE '%w%'",Documents,"SELECT document_name ,  template_id FROM Documents WHERE Document_Description LIKE ""%w%""",What is the document name and template id for document with description with the letter 'w' in it?,cre_Doc_Template_Mgt
"SELECT Document_Name, Template_ID FROM Documents WHERE Document_Description LIKE '%w%'",Documents,"SELECT document_name ,  template_id FROM Documents WHERE Document_Description LIKE ""%w%""",Return the names and template ids for documents that contain the letter w in their description.,cre_Doc_Template_Mgt
"SELECT d.Document_ID, t.Template_ID, d.Document_Description FROM Documents d JOIN Templates t ON d.Template_ID = t.Template_ID WHERE d.Document_Name = 'Robbin CV'",Documents,"SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  ""Robbin CV""","What is the document id, template id and description for document named ""Robbin CV""?",cre_Doc_Template_Mgt
"SELECT Document_ID, Template_ID, Document_Description FROM Documents WHERE Document_Name = 'Robbin CV'",Documents,"SELECT document_id ,  template_id ,  Document_Description FROM Documents WHERE document_name  =  ""Robbin CV""","Return the document id, template id, and description for the document with the name Robbin CV.",cre_Doc_Template_Mgt
SELECT COUNT(DISTINCT Template_ID) FROM Documents,Documents,SELECT count(DISTINCT template_id) FROM Documents,How many different templates do all document use?,cre_Doc_Template_Mgt
SELECT COUNT(DISTINCT T.Template_ID) FROM Templates T INNER JOIN Documents D ON T.Template_ID = D.Template_ID,Documents,SELECT count(DISTINCT template_id) FROM Documents,Count the number of different templates used for documents.,cre_Doc_Template_Mgt
SELECT COUNT(*) FROM Documents WHERE Template_ID IN (SELECT Template_ID FROM Templates WHERE Template_Type_Code = 'PPT'),"Documents, Templates",SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',How many documents are using the template with type code 'PPT'?,cre_Doc_Template_Mgt
SELECT COUNT(*) FROM Documents WHERE Template_ID IN (SELECT Template_ID FROM Templates WHERE Template_Type_Code = 'PPT'),"Documents, Templates",SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',Count the number of documents that use the PPT template type.,cre_Doc_Template_Mgt
"Based on the given SQL tables, the question is referring to the `Templates` and `Documents` tables. To answer the question, you can use the following SQL query: ```sql SELECT Templates.Template_ID, COUNT(Documents.Document_ID) AS Num_Documents FROM Templates JOIN Documents ON Templates.Template_ID = Documents.Template_ID GROUP BY Templates.Template_ID",Documents,"SELECT template_id ,  count(*) FROM Documents GROUP BY template_id",Show all template ids and number of documents using each template.,cre_Doc_Template_Mgt
"SELECT t.Template_ID, COUNT(d.Document_ID) as Document_Count FROM Templates t JOIN Documents d ON t.Template_ID = d.Template_ID GROUP BY t.Template_ID",Documents,"SELECT template_id ,  count(*) FROM Documents GROUP BY template_id","What are all different template ids used for documents, and how many times were each of them used?",cre_Doc_Template_Mgt
"To answer this question, we need to join the `Templates` and `Documents` tables on the `Template_ID` field, then group the results by `Template_Type_Code` and count the number of documents for each type. The template with the most documents will have the highest count. Here is the SQL query to get the desired information: ```sql SELECT t.Template_Type_Code, t.Template_ID, COUNT(d.Document_ID) AS document_count FROM Templates t JOIN Documents d ON t.Template_ID = d.Template_ID GROUP BY t.Template_Type_Code, t.Template_ID ORDER BY document_count DESC LIMIT 1","Documents, Templates","SELECT T1.template_id ,  T2.Template_Type_Code FROM Documents AS T1 JOIN Templates AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1",What is the id and type code for the template used by the most documents?,cre_Doc_Template_Mgt
"SELECT t.Template_ID, t.Template_Type_Code FROM Templates t JOIN Documents d ON t.Template_ID = d.Template_ID GROUP BY t.Template_ID, t.Template_Type_Code ORDER BY COUNT(d.Document_ID) DESC LIMIT 1","Documents, Templates","SELECT T1.template_id ,  T2.Template_Type_Code FROM Documents AS T1 JOIN Templates AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1",Return the id and type code of the template that is used for the greatest number of documents.,cre_Doc_Template_Mgt
SELECT Template_ID FROM Templates WHERE Template_ID IN ( SELECT Template_ID FROM Documents GROUP BY Template_ID HAVING COUNT(*) > 1 ),Documents,SELECT template_id FROM Documents GROUP BY template_id HAVING count(*)  >  1,Show ids for all templates that are used by more than one document.,cre_Doc_Template_Mgt
SELECT Template_ID FROM Templates WHERE Template_ID IN ( SELECT Template_ID FROM Documents GROUP BY Template_ID HAVING COUNT(*) > 1 ),Documents,SELECT template_id FROM Documents GROUP BY template_id HAVING count(*)  >  1,What are the template ids of any templates used in more than a single document?,cre_Doc_Template_Mgt
SELECT Template_ID FROM Templates WHERE Template_ID NOT IN (SELECT DISTINCT Template_ID FROM Documents),"Templates, Documents",SELECT template_id FROM Templates EXCEPT SELECT template_id FROM Documents,Show ids for all templates not used by any document.,cre_Doc_Template_Mgt
SELECT Template_ID FROM Templates WHERE Template_ID NOT IN (SELECT DISTINCT Template_ID FROM Documents) This query first selects all the unique Template_IDs from the Documents table. Then it selects all the Template_IDs from the Templates table that are not in the list of unique Template_IDs obtained from the subquery. The result will be the IDs of the templates that are not used in any documents.,"Templates, Documents",SELECT template_id FROM Templates EXCEPT SELECT template_id FROM Documents,What are the ids for templates that are not used in any documents?,cre_Doc_Template_Mgt
SELECT COUNT(*) FROM Templates,Templates,SELECT count(*) FROM Templates,How many templates do we have?,cre_Doc_Template_Mgt
SELECT COUNT(*) FROM Templates,Templates,SELECT count(*) FROM Templates,Count the number of templates.,cre_Doc_Template_Mgt
"SELECT Template_ID, Version_Number, Template_Type_Code FROM Templates",Templates,"SELECT template_id ,  version_number ,  template_type_code FROM Templates","Show template ids, version numbers, and template type codes for all templates.",cre_Doc_Template_Mgt
"SELECT T.Template_ID, T.Version_Number, T.Template_Type_Code FROM Templates T",Templates,"SELECT template_id ,  version_number ,  template_type_code FROM Templates","What are the ids, version numbers, and type codes for each template?",cre_Doc_Template_Mgt
SELECT DISTINCT Template_Type_Code FROM Templates,Templates,SELECT DISTINCT template_type_code FROM Templates,Show all distinct template type codes for all templates.,cre_Doc_Template_Mgt
"The different template type codes are 'PPT', 'CV', 'AD', and 'BK'. These codes are present in the 'Template_Type_Code' column of the 'Ref_Template_Types' table.",Templates,SELECT DISTINCT template_type_code FROM Templates,What are the different template type codes?,cre_Doc_Template_Mgt
"SELECT Template_ID FROM Templates WHERE Template_Type_Code IN ('PP', 'PPT')",Templates,"SELECT template_id FROM Templates WHERE template_type_code  =  ""PP"" OR template_type_code  =  ""PPT""",What are the ids of templates with template type code PP or PPT?,cre_Doc_Template_Mgt
"SELECT Template_ID FROM Templates WHERE Template_Type_Code IN ('PP', 'PPT')",Templates,"SELECT template_id FROM Templates WHERE template_type_code  =  ""PP"" OR template_type_code  =  ""PPT""",Return the ids of templates that have the code PP or PPT.,cre_Doc_Template_Mgt
SELECT COUNT(*) FROM Templates WHERE Template_Type_Code = 'CV',Templates,"SELECT count(*) FROM Templates WHERE template_type_code  =  ""CV""",How many templates have template type code CV?,cre_Doc_Template_Mgt
SELECT COUNT(*) FROM Templates WHERE Template_Type_Code = 'CV',Templates,"SELECT count(*) FROM Templates WHERE template_type_code  =  ""CV""",Count the number of templates of the type CV.,cre_Doc_Template_Mgt
"SELECT Version_Number, Template_Type_Code FROM Templates WHERE Version_Number > 5",Templates,"SELECT version_number ,  template_type_code FROM Templates WHERE version_number  >  5",What is the version number and template type code for the template with version number later than 5?,cre_Doc_Template_Mgt
"SELECT Version_Number, Template_Type_Code FROM Templates WHERE Version_Number > 5",Templates,"SELECT version_number ,  template_type_code FROM Templates WHERE version_number  >  5",Return the version numbers and template type codes of templates with a version number greater than 5.,cre_Doc_Template_Mgt
"SELECT rtt.Template_Type_Code, COUNT(t.Template_ID) AS Number_of_Templates FROM Ref_Template_Types rtt JOIN Templates t ON rtt.Template_Type_Code = t.Template_Type_Code GROUP BY rtt.Template_Type_Code",Templates,"SELECT template_type_code ,  count(*) FROM Templates GROUP BY template_type_code",Show all template type codes and number of templates for each.,cre_Doc_Template_Mgt
"SELECT rtt.Template_Type_Code, COUNT(t.Template_ID) AS Template_Count FROM Ref_Template_Types rtt JOIN Templates t ON rtt.Template_Type_Code = t.Template_Type_Code GROUP BY rtt.Template_Type_Code",Templates,"SELECT template_type_code ,  count(*) FROM Templates GROUP BY template_type_code","What are the different template type codes, and how many templates correspond to each?",cre_Doc_Template_Mgt
"To answer this question, we need to join the `Templates` and `Ref_Template_Types` tables on the `Template_Type_Code` column. Then, we can group the results by `Template_Type_Code` and count the number of templates for each type. The template type code with the most number of templates can be determined by ordering the results in descending order and selecting the first row. Here is the SQL query to achieve this: ```sql SELECT r.Template_Type_Code, COUNT(t.Template_ID) AS num_templates FROM Templates t JOIN Ref_Template_Types r ON t.Template_Type_Code = r.Template_Type_Code GROUP BY r.Template_Type_Code ORDER BY num_templates DESC LIMIT 1",Templates,SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,Which template type code has most number of templates?,cre_Doc_Template_Mgt
"To solve this problem, you need to join the `Templates` and `Ref_Template_Types` tables on the `Template_Type_Code` column. Then, you group the results by `Template_Type_Code` and count the number of templates for each type. Finally, you order the results by the count in descending order and return the type code of the first row. Here is the SQL query to solve the problem: ```sql SELECT tt.Template_Type_Code FROM Templates t JOIN Ref_Template_Types tt ON t.Template_Type_Code = tt.Template_Type_Code GROUP BY tt.Template_Type_Code ORDER BY COUNT(t.Template_ID) DESC LIMIT 1",Templates,SELECT template_type_code FROM Templates GROUP BY template_type_code ORDER BY count(*) DESC LIMIT 1,Return the type code of the template type that the most templates belong to.,cre_Doc_Template_Mgt
SELECT Template_Type_Code FROM Templates GROUP BY Template_Type_Code HAVING COUNT(*) < 3,Templates,SELECT template_type_code FROM Templates GROUP BY template_type_code HAVING count(*)  <  3,Show all template type codes with less than three templates.,cre_Doc_Template_Mgt
